"匹配的商品 ","商品定位","已添加为","展示量","点击次数","点击率 (CTR)","支出(USD)","单次点击成本 (CPC)(USD)","订单","销售额(USD)","ACOS","ROAS","转化率"
"nylon zipper tape","close-match","","50","4","8.00",2.24,0.56,"1",15.99,"14.008755472170106","7.138392857142857","25.0"
"b007f0y8i8","substitutes","否定商品目标","438","10","2.28",4.34,0.43,"0",0,,"0.0","0.0"
"b0d1brkqs5","substitutes","","12","2","16.67",0.9,0.45,"0",0,,"0.0","0.0"
"#3 rainbow zipper tape","loose-match","","22","4","18.18",2.18,0.55,"0",0,,"0.0","0.0"
"purple zippers by the yard","close-match","","18","4","22.22",1.81,0.45,"0",0,,"0.0","0.0"
"b0cb85ypbs","substitutes","","19","2","10.53",0.86,0.43,"3",44.77,"1.9209291936564663","52.05813953488372","150.0"
"b0ct94j77r","substitutes","","21","2","9.52",0.86,0.43,"0",0,,"0.0","0.0"
"coil zipper","close-match","","118","4","3.39",2.24,0.56,"0",0,,"0.0","0.0"
"b0dlzjllyk","substitutes","","232","10","4.31",4.39,0.44,"1",15.99,"27.454659161976235","3.6423690205011385","10.0"
"b09vgw8pd9","substitutes","","7","2","28.57",0.86,0.43,"0",0,,"0.0","0.0"
"b0b9748lvr","substitutes","","10","2","20.00",0.82,0.41,"0",0,,"0.0","0.0"
"b0bzzj5698","substitutes","","5","2","40.00",0.87,0.43,"0",0,,"0.0","0.0"
"plastic purple zipper","loose-match","","3","2","66.67",1.09,0.55,"0",0,,"0.0","0.0"
"rainbow zippers","close-match","","122","9","7.38",5.25,0.58,"1",15.99,"32.833020637898684","3.045714285714286","11.11111111111111"
"b09ylzm7wd","substitutes","","12","3","25.00",1.29,0.43,"0",0,,"0.0","0.0"
"zipper #5","close-match","","23","3","13.04",1.68,0.56,"0",0,,"0.0","0.0"
"zipper","loose-match","","7220","83","1.15",48.72,0.59,"6",92.74,"52.533965926245415","1.9035303776683086","7.228915662650602"
"14 inch zipper","loose-match","","4","2","50.00",1.04,0.52,"0",0,,"0.0","0.0"
"separating zipper","loose-match","","65","3","4.62",1.62,0.54,"0",0,,"0.0","0.0"
"zippers by the yard #5","close-match","","344","7","2.03",3.97,0.57,"0",0,,"0.0","0.0"
"zipper coil","close-match","","35","4","11.43",2.24,0.56,"0",0,,"0.0","0.0"
"colorful tape","close-match","","10","2","20.00",1.12,0.56,"0",0,,"0.0","0.0"
"b0b84tlx6d","substitutes","","285","8","2.81",3.52,0.44,"0",0,,"0.0","0.0"
"b085ycsj7q","substitutes","","41","5","12.20",2.23,0.45,"1",15.99,"13.946216385240772","7.170403587443948","20.0"
"metal zippers by the yard","close-match","","15","2","13.33",1.12,0.56,"0",0,,"0.0","0.0"
"nylon coil zipper #5","close-match","","41","2","4.88",1.12,0.56,"0",0,,"0.0","0.0"
"purse zippers","close-match","","32","4","12.50",2.29,0.57,"0",0,,"0.0","0.0"
"zipper by the yard #5","close-match","","40","3","7.50",1.73,0.58,"0",0,,"0.0","0.0"
"metal rainbow zipper","close-match","","50","4","8.00",2.39,0.6,"0",0,,"0.0","0.0"
"sew on zipper","loose-match","","6","1","16.67",0.62,0.62,"0",0,,"0.0","0.0"
"b09chb8xx3","substitutes","","12","2","16.67",0.86,0.43,"0",0,,"0.0","0.0"
"rainbow purse hardware","loose-match","","20","2","10.00",1.09,0.54,"0",0,,"0.0","0.0"
"purple zipper 4.5","loose-match","","6","2","33.33",1.09,0.55,"2",31.98,"3.4083802376485304","29.339449541284402","100.0"
"b0db5m77ct","substitutes","","3","2","66.67",0.86,0.43,"0",0,,"0.0","0.0"
"b00rlcfk32","substitutes","","38","3","7.89",1.29,0.43,"0",0,,"0.0","0.0"
"#5 rainbow zippers","close-match","","17","2","11.76",1,0.5,"0",0,,"0.0","0.0"
"b08mcf3bb8","substitutes","","12","2","16.67",0.9,0.45,"0",0,,"0.0","0.0"
"purse making hardware","loose-match","","9","2","22.22",1.04,0.52,"0",0,,"0.0","0.0"
"heavy duty zippers","loose-match","","23","3","13.04",1.56,0.52,"2",31.98,"4.878048780487805","20.5","66.66666666666666"
"b07hs3y5kh","substitutes","","2","2","100.00",0.86,0.43,"0",0,,"0.0","0.0"
"b0cnrj9w7x","substitutes","","2","2","100.00",0.86,0.43,"0",0,,"0.0","0.0"
"b0d7p77xpf","substitutes","","56","4","7.14",1.74,0.43,"0",0,,"0.0","0.0"
"b0b39n5lsj","substitutes","","13","2","15.38",0.9,0.45,"0",0,,"0.0","0.0"
"b00yujjb52","substitutes","","8","3","37.50",1.33,0.44,"0",0,,"0.0","0.0"
"#5 coil zipper","close-match","","72","3","4.17",1.74,0.58,"0",0,,"0.0","0.0"
"b08t1n2kqf","substitutes","","8","2","25.00",1.04,0.52,"0",0,,"0.0","0.0"
"ziper","loose-match","","16","2","12.50",1.09,0.54,"0",0,,"0.0","0.0"
"#5 zipper by the yard","close-match","","33","4","12.12",2.1,0.53,"0",0,,"0.0","0.0"
"aqua #5 zipper tape","close-match","","8","2","25.00",1.09,0.54,"0",0,,"0.0","0.0"
"zipper tape rainbow","close-match","","22","2","9.09",1.12,0.56,"0",0,,"0.0","0.0"
"black zipper tape #5","close-match","","13","3","23.08",1.68,0.56,"1",15.99,"10.506566604127581","9.517857142857142","33.33333333333333"
"b07q517wl2","substitutes","","10","2","20.00",0.91,0.45,"0",0,,"0.0","0.0"
"b087b6qyfl","substitutes","","14","2","14.29",0.9,0.45,"0",0,,"0.0","0.0"
"b07vzslvmr","substitutes","","23","2","8.70",0.84,0.42,"0",0,,"0.0","0.0"
"b0cj6vg222","substitutes","","21","3","14.29",1.32,0.44,"1",15.99,"8.25515947467167","12.113636363636363","33.33333333333333"
"b0fc2nksz8","substitutes","","210","4","1.90",1.73,0.43,"0",0,,"0.0","0.0"
"b07tvdzj91","substitutes","","6","2","33.33",0.9,0.45,"0",0,,"0.0","0.0"
"b0bfqyk9ky","substitutes","","4","2","50.00",0.86,0.43,"1",15.99,"5.378361475922452","18.593023255813954","50.0"
"b08zjkc4jx","substitutes","","48","3","6.25",1.3,0.43,"1",15.99,"8.130081300813007","12.300000000000002","33.33333333333333"
"b075khx45n","substitutes","","23","3","13.04",1.28,0.43,"0",0,,"0.0","0.0"
"#5 nylon zipper tape","close-match","","45","3","6.67",1.73,0.58,"0",0,,"0.0","0.0"
"zipper 7 inch","loose-match","","6","2","33.33",1.04,0.52,"0",0,,"0.0","0.0"
"#5 zipper by the yard gunmetal","close-match","","2","2","100.00",1.12,0.56,"0",0,,"0.0","0.0"
"metal coil zipper tape","close-match","","3","1","33.33",0.61,0.61,"0",0,,"0.0","0.0"
"fun zippers","loose-match","","2","1","50.00",0.62,0.62,"0",0,,"0.0","0.0"
"zipper tape #5","close-match","","179","12","6.70",6.87,0.57,"1",15.99,"42.964352720450286","2.3275109170305672","8.333333333333332"
"b017jic6m0","substitutes","","13","3","23.08",1.09,0.36,"1",15.99,"6.81676047529706","14.669724770642205","33.33333333333333"
"pink zipper tape #5","loose-match","","7","3","42.86",1.56,0.52,"0",0,,"0.0","0.0"
"b0clh4bshk","substitutes","","2","2","100.00",0.81,0.41,"0",0,,"0.0","0.0"
"b0bm8q28qg","substitutes","","223","7","3.14",3.09,0.44,"0",0,,"0.0","0.0"
"b0b4n3623k","substitutes","","10","2","20.00",0.9,0.45,"0",0,,"0.0","0.0"
"black zipper tape","close-match","","1154","20","1.73",11.31,0.57,"2",28.78,"39.298123697011825","2.544650751547303","10.0"
"lavender zipper","loose-match","","5","2","40.00",1.04,0.52,"0",0,,"0.0","0.0"
"tula pink zipper tape","loose-match","","5","3","60.00",1.56,0.52,"0",0,,"0.0","0.0"
"#5 nylon coil zipper","close-match","","22","2","9.09",1.17,0.58,"0",0,,"0.0","0.0"
"metal zipper tape","close-match","","19","3","15.79",1.78,0.59,"0",0,,"0.0","0.0"
"b0f2n481bx","substitutes","","6","2","33.33",0.76,0.38,"0",0,,"0.0","0.0"
"bag making hardware","loose-match","","19","6","31.58",3.17,0.53,"1",15.99,"19.824890556597875","5.04416403785489","16.666666666666664"
"b00rll9uaw","substitutes","","3","2","66.67",0.86,0.43,"1",15.99,"5.378361475922452","18.593023255813954","50.0"
"b08jtpw7ff","substitutes","","75","4","5.33",1.8,0.45,"0",0,,"0.0","0.0"
"zipper rainbow","close-match","","33","5","15.15",2.91,0.58,"0",0,,"0.0","0.0"
"#5 zipper slides halloween","loose-match","","3","2","66.67",1.04,0.52,"0",0,,"0.0","0.0"
"zippers heavy duty","loose-match","","10","2","20.00",1.04,0.52,"0",0,,"0.0","0.0"
"sewing tape","close-match","","4","1","25.00",0.61,0.61,"0",0,,"0.0","0.0"
"b097j5k62f","substitutes","","8","2","25.00",0.86,0.43,"0",0,,"0.0","0.0"
"zipper metal teeth","close-match","","5","2","40.00",1.22,0.61,"0",0,,"0.0","0.0"
"#5 nylon coil zipper by the yard","close-match","","3","1","33.33",0.61,0.61,"0",0,,"0.0","0.0"
"b0dck13hm8","substitutes","","4","2","50.00",0.9,0.45,"0",0,,"0.0","0.0"
"zipper purple","close-match","","31","3","9.68",1.79,0.6,"0",0,,"0.0","0.0"
"b099kk1d8d","substitutes","","33","2","6.06",0.9,0.45,"0",0,,"0.0","0.0"
"b017j9zppy","substitutes","","6","4","66.67",1.64,0.41,"0",0,,"0.0","0.0"
"zipper by the yard with cute pulls","loose-match","","5","1","20.00",0.61,0.61,"0",0,,"0.0","0.0"
"purple #5 zipper","close-match","","17","5","29.41",2.4,0.48,"0",0,,"0.0","0.0"
"b0d3vkmhtz","substitutes","","13","2","15.38",0.86,0.43,"0",0,,"0.0","0.0"
"b0f5vxhxv7","substitutes","","6","2","33.33",0.86,0.43,"0",0,,"0.0","0.0"
"b08ktk5jng","substitutes","","246","9","3.66",3.78,0.42,"2",31.98,"11.819887429643527","8.46031746031746","22.22222222222222"
"nylon coil zippers by the yard","close-match","","16","2","12.50",1.11,0.56,"0",0,,"0.0","0.0"
"1937193993","substitutes","","19","3","15.79",1.29,0.43,"2",31.98,"4.033771106941838","24.790697674418606","66.66666666666666"
"b0dglccdww","substitutes","","4","2","50.00",0.86,0.43,"0",0,,"0.0","0.0"
"black rainbow zipper tape","loose-match","","12","3","25.00",1.64,0.55,"1",15.99,"10.256410256410257","9.75","33.33333333333333"
"colorful #5 zipper","close-match","","3","1","33.33",0.61,0.61,"0",0,,"0.0","0.0"
"b0c93bv56b","substitutes","","125","5","4.00",2.22,0.44,"0",0,,"0.0","0.0"
"b07dq81yx4","substitutes","","7","2","28.57",0.86,0.43,"0",0,,"0.0","0.0"
"10 inch separating zipper","loose-match","","2","2","100.00",1.04,0.52,"0",0,,"0.0","0.0"
"b075h65k4x","substitutes","","23","2","8.70",0.9,0.45,"0",0,,"0.0","0.0"
"b09g648p3q","substitutes","","4","2","50.00",0.86,0.43,"0",0,,"0.0","0.0"
"b008i68jym","substitutes","","17","2","11.76",0.86,0.43,"0",0,,"0.0","0.0"
"b0dmz7zgq4","substitutes","","4","2","50.00",0.86,0.43,"0",0,,"0.0","0.0"
"bulk zippers","loose-match","","9","2","22.22",1.04,0.52,"0",0,,"0.0","0.0"
"b0c7pcd3qd","substitutes","","9","2","22.22",0.86,0.43,"0",0,,"0.0","0.0"
"b0ccnqd3s9","substitutes","","10","2","20.00",0.9,0.45,"0",0,,"0.0","0.0"
"zipper 5","close-match","","5","1","20.00",0.61,0.61,"1",15.99,"3.81488430268918","26.213114754098363","100.0"
"b09dr5wf78","substitutes","","21","3","14.29",1.23,0.41,"0",0,,"0.0","0.0"
"zippers by the yard for sewing","close-match","","1543","21","1.36",11.9,0.57,"5",79.95,"14.884302689180739","6.718487394957982","23.809523809523807"
"5 rainbow zipper","close-match","","7","1","14.29",0.61,0.61,"1",15.99,"3.81488430268918","26.213114754098363","100.0"
"rainbow zipper tape #5","close-match","","83","7","8.43",4.08,0.58,"1",12.79,"31.899921813917125","3.134803921568627","14.285714285714285"
"metal zippers bulk","close-match","","2","1","50.00",0.67,0.67,"0",0,,"0.0","0.0"
"b0cjly21rz","substitutes","","152","7","4.61",3.05,0.44,"0",0,,"0.0","0.0"
"litmus zipper","loose-match","","1","1","100.00",0.62,0.62,"0",0,,"0.0","0.0"
"purple zipper tape #5","close-match","","43","5","11.63",2.93,0.59,"0",0,,"0.0","0.0"
"#5 zipper tape by the yard rainbow","close-match","","7","2","28.57",1.16,0.58,"0",0,,"0.0","0.0"
"b099x8ztwb","substitutes","","69","7","10.14",3.02,0.43,"0",0,,"0.0","0.0"
"tula pink zippers","loose-match","","41","3","7.32",1.66,0.55,"0",0,,"0.0","0.0"
"zipper roll","loose-match","","23","3","13.04",1.56,0.52,"0",0,,"0.0","0.0"
"bag zippers","close-match","","12","2","16.67",1.12,0.56,"0",0,,"0.0","0.0"
"rainbow zipper by the yard","close-match","","89","7","7.87",4.11,0.59,"0",0,,"0.0","0.0"
"b0dsl86ydc","substitutes","","51","5","9.80",2.29,0.46,"0",0,,"0.0","0.0"
"zipper kit","loose-match","","10","2","20.00",1.04,0.52,"0",0,,"0.0","0.0"
"red zipper","loose-match","","48","4","8.33",2.08,0.52,"0",0,,"0.0","0.0"
"b07l53y1j5","substitutes","","38","4","10.53",1.72,0.43,"0",0,,"0.0","0.0"
"purse zippers for bag making","loose-match","","28","4","14.29",2.13,0.53,"0",0,,"0.0","0.0"
"b0crrhst9m","substitutes","","3","2","66.67",0.9,0.45,"0",0,,"0.0","0.0"
"b0921z49mh","substitutes","","134","4","2.99",1.72,0.43,"0",0,,"0.0","0.0"
"b0c43wzv6s","substitutes","","5","3","60.00",1.55,0.52,"1",15.99,"9.693558474046279","10.316129032258065","33.33333333333333"
"two way zipper","loose-match","","6","2","33.33",1.04,0.52,"0",0,,"0.0","0.0"
"b0crb7fqjd","substitutes","","24","3","12.50",1.29,0.43,"0",0,,"0.0","0.0"
"by annie zippers","loose-match","","135","10","7.41",5.4,0.54,"2",31.98,"16.885553470919326","5.922222222222222","20.0"
"byannie zippers","loose-match","","15","2","13.33",1.04,0.52,"0",0,,"0.0","0.0"
"zipper 2 way","close-match","","2","1","50.00",0.67,0.67,"0",0,,"0.0","0.0"
"invisible zipper","loose-match","","42","3","7.14",1.61,0.54,"0",0,,"0.0","0.0"
"b0d8y7tfkv","substitutes","","15","2","13.33",0.86,0.43,"0",0,,"0.0","0.0"
"b0cly5cr3w","substitutes","","6","2","33.33",0.86,0.43,"0",0,,"0.0","0.0"
"b0cbwmd9jf","substitutes","","23","2","8.70",0.86,0.43,"0",0,,"0.0","0.0"
"zippers by the yard for sewing purple","close-match","","6","1","16.67",0.61,0.61,"0",0,,"0.0","0.0"
"zipper tape rainbow coil","close-match","","6","1","16.67",0.67,0.67,"0",0,,"0.0","0.0"
"b0cj5fpphv","substitutes","","20","5","25.00",2.12,0.42,"0",0,,"0.0","0.0"
"purse hardware for bag making","loose-match","","39","5","12.82",2.59,0.52,"0",0,,"0.0","0.0"
"sewing tools","loose-match","","33","6","18.18",3.17,0.53,"0",0,,"0.0","0.0"
"fancy zippers","loose-match","","25","2","8.00",1.04,0.52,"0",0,,"0.0","0.0"
"b07zs212xd","substitutes","","30","3","10.00",1.15,0.38,"0",0,,"0.0","0.0"
"b0966mlg65","substitutes","","8","2","25.00",0.86,0.43,"0",0,,"0.0","0.0"
"metal zippers for bags and purses","close-match","","32","4","12.50",2.24,0.56,"0",0,,"0.0","0.0"
"b0cj5mbvx8","substitutes","","7","2","28.57",0.86,0.43,"0",0,,"0.0","0.0"
"b0b1q4x3qp","substitutes","","11","3","27.27",1.33,0.44,"0",0,,"0.0","0.0"
"1440218188","substitutes","","3","2","66.67",0.72,0.36,"0",0,,"0.0","0.0"
"b0d31ml5kp","substitutes","","18","3","16.67",1.29,0.43,"0",0,,"0.0","0.0"
"crochet zipper with holes","loose-match","","38","3","7.89",1.56,0.52,"0",0,,"0.0","0.0"
"zippers by the yard #5 with pulls","close-match","","5","1","20.00",0.61,0.61,"0",0,,"0.0","0.0"
"b01hbhb3nw","substitutes","","21","3","14.29",1.29,0.43,"0",0,,"0.0","0.0"
"green zipper","loose-match","","15","2","13.33",1.04,0.52,"0",0,,"0.0","0.0"
"teal zipper tape","loose-match","","10","3","30.00",1.56,0.52,"0",0,,"0.0","0.0"
"dark purple zipper","loose-match","","6","2","33.33",1.09,0.54,"0",0,,"0.0","0.0"
"b0b84zcn9j","substitutes","","13","2","15.38",0.9,0.45,"0",0,,"0.0","0.0"
"b07ts8wqvp","substitutes","","13","2","15.38",0.86,0.43,"0",0,,"0.0","0.0"
"plastic zipper","loose-match","","15","2","13.33",1.04,0.52,"0",0,,"0.0","0.0"
"pink zippers","loose-match","","4","2","50.00",1.14,0.57,"0",0,,"0.0","0.0"
"b0dsfbq3np","substitutes","","14","2","14.29",0.95,0.47,"0",0,,"0.0","0.0"
"b09tw3wpwc","substitutes","","19","3","15.79",1.17,0.39,"0",0,,"0.0","0.0"
"rainbow metal","loose-match","","13","3","23.08",1.64,0.55,"0",0,,"0.0","0.0"
"zipper tape and pulls","close-match","","30","3","10.00",1.68,0.56,"0",0,,"0.0","0.0"
"nylon zipper by the yard with pulls","close-match","","39","4","10.26",2.24,0.56,"1",15.99,"14.008755472170106","7.138392857142857","25.0"
"zippers by the yard","close-match","","1721","28","1.63",16.05,0.57,"3",54.36,"29.52538631346579","3.386915887850466","10.714285714285714"
"b078bdmg95","substitutes","","8","2","25.00",0.86,0.43,"0",0,,"0.0","0.0"
"b0dydql9b8","substitutes","","94","8","8.51",3.56,0.45,"0",0,,"0.0","0.0"
"metal zipper","close-match","","92","5","5.43",2.85,0.57,"0",0,,"0.0","0.0"
"sewing hardware","loose-match","","11","2","18.18",1.04,0.52,"0",0,,"0.0","0.0"
"zipper tape by the yard #5 with pulls","close-match","","3915","53","1.35",29.96,0.57,"5",73.23,"40.9121944558241","2.444259012016022","9.433962264150944"
"number 5 zipper","loose-match","","11","3","27.27",1.64,0.55,"0",0,,"0.0","0.0"
"sallie tomato #5 zippers by the yard rainbow dark grey","loose-match","","2","2","100.00",0.88,0.44,"0",0,,"0.0","0.0"
"light purple rainbow zipper by the yard","loose-match","","3","2","66.67",1,0.5,"0",0,,"0.0","0.0"
"zipper for bag","loose-match","","7","2","28.57",1.08,0.54,"0",0,,"0.0","0.0"
"b0ct5rq11x","substitutes","","3","2","66.67",0.86,0.43,"0",0,,"0.0","0.0"
"b0bj2hd9wx","substitutes","","87","5","5.75",2.15,0.43,"0",0,,"0.0","0.0"
"zipper by the yard with pulls 4.5","loose-match","","3","1","33.33",0.62,0.62,"0",0,,"0.0","0.0"
"b0c9wsc3sq","substitutes","","37","5","13.51",2.18,0.44,"0",0,,"0.0","0.0"
"rhinestone zipper","loose-match","","17","3","17.65",1.56,0.52,"0",0,,"0.0","0.0"
"b0bzgmz269","substitutes","","14","3","21.43",1.37,0.46,"0",0,,"0.0","0.0"
"#5 zippers","loose-match","","44","7","15.91",3.64,0.52,"0",0,,"0.0","0.0"
"bright colored zippers","loose-match","","6","2","33.33",1.09,0.54,"0",0,,"0.0","0.0"
"b0cjpmxrj8","substitutes","","16","3","18.75",1.12,0.37,"1",15.99,"7.004377736085051","14.276785714285715","33.33333333333333"
"#5 rainbow zipper","close-match","","5","1","20.00",0.61,0.61,"0",0,,"0.0","0.0"
"sallie tomato #5 zippers","loose-match","","7","2","28.57",1.09,0.54,"1",15.99,"6.81676047529706","14.669724770642205","50.0"
"turquoise invisible zipper by the yard","loose-match","","6","2","33.33",1.09,0.54,"1",15.99,"6.81676047529706","14.669724770642205","50.0"
"#5 zipper tape","close-match","","589","18","3.06",10.43,0.58,"0",0,,"0.0","0.0"
"b0c7qg8cjw","substitutes","","10","2","20.00",0.86,0.43,"0",0,,"0.0","0.0"
"5 zipper tape","close-match","","10","3","30.00",1.68,0.56,"0",0,,"0.0","0.0"
"b09znn511q","substitutes","","31","4","12.90",1.76,0.44,"1",15.99,"11.006879299562227","9.085227272727273","25.0"
"b0dy7vj8kq","substitutes","","19","2","10.53",0.86,0.43,"0",0,,"0.0","0.0"
"by annie zippers by the yard","loose-match","","17","3","17.65",1.61,0.54,"1",12.79,"12.587959343236903","7.944099378881988","33.33333333333333"
"#5 rainbow zipper tape","loose-match","","27","2","7.41",1.13,0.56,"1",15.99,"7.066916823014384","14.150442477876108","50.0"
"sewing products","loose-match","","119","2","1.68",1.08,0.54,"1",12.79,"8.444096950742768","11.842592592592592","50.0"
"handbag zippers","loose-match","","18","4","22.22",2.13,0.53,"0",0,,"0.0","0.0"
"b0c289421k","substitutes","","97","6","6.19",2.65,0.44,"0",0,,"0.0","0.0"
"b08xb4pyxx","substitutes","","7","2","28.57",0.86,0.43,"0",0,,"0.0","0.0"
"tricolor zipper","loose-match","","1","1","100.00",0.62,0.62,"0",0,,"0.0","0.0"
"purple zippers","close-match","","33","4","12.12",2.34,0.58,"0",0,,"0.0","0.0"
"b00yujmwjo","substitutes","","12","2","16.67",0.86,0.43,"3",47.97,"1.7927871586408173","55.77906976744186","150.0"
"b0dxfb71yz","substitutes","","2","2","100.00",0.86,0.43,"0",0,,"0.0","0.0"
"rainbow zipper #5","close-match","","3","1","33.33",0.61,0.61,"0",0,,"0.0","0.0"
"black zipper with pink teeth","loose-match","","5","1","20.00",0.62,0.62,"0",0,,"0.0","0.0"
"#5 metal zipper tape turquoise","loose-match","","9","2","22.22",1.04,0.52,"0",0,,"0.0","0.0"
"2 sided zipper","loose-match","","1","1","100.00",0.62,0.62,"0",0,,"0.0","0.0"
"zipper for crochet project","loose-match","","2","2","100.00",1.04,0.52,"0",0,,"0.0","0.0"
"tula pink zipper","loose-match","","3","2","66.67",1.09,0.54,"1",15.99,"6.81676047529706","14.669724770642205","50.0"
"b0d1dd12vw","substitutes","","14","2","14.29",0.86,0.43,"0",0,,"0.0","0.0"
"zipper by the yard￼","close-match","","3","1","33.33",0.67,0.67,"0",0,,"0.0","0.0"
